year,ISO_code,countries,region,hf_score,hf_rank,Happiness.Rank,Happiness.Score,GNI_capita
2017,CAF,Central Afr. Rep.,Sub-Saharan Africa,5.41,150,155,2.6930000780000003,959.3090454497279
2017,TCD,Chad,Sub-Saharan Africa,5.46,147,137,3.9360001089999996,1566.2598201906
2017,CHL,Chile,Latin America & the Caribbean,8.15,28,20,6.65199995,22685.2308363438
2017,CHN,China,East Asia,6.17,126,79,5.2729997630000005,14333.1332786676
2017,COL,Colombia,Latin America & the Caribbean,6.93,71,36,6.3569998739999996,14054.877034270501
2017,CRI,Costa Rica,Latin America & the Caribbean,7.7,43,12,7.078999996,18160.745522203102
2017,HRV,Croatia,Eastern Europe,7.86,37,77,5.293000221000001,26204.5179287875
2017,CYP,Cyprus,Eastern Europe,7.93,36,65,5.620999812999999,36615.7362164962
2017,CZE,Czech Rep.,Eastern Europe,8.34,21,23,6.609000206,36123.6270618233
2017,DNK,Denmark,Western Europe,8.56,6,2,7.521999836,56234.8407568118
2017,DOM,Dominican Rep.,Latin America & the Caribbean,6.95,68,86,5.230000018999999,15941.6818911597
2017,ECU,Ecuador,Latin America & the Caribbean,6.82,82,44,6.007999897,11359.6815844761
2017,EGY,Egypt,Middle East & North Africa,4.5,157,104,4.735000134,10799.5824289783
2017,SLV,El Salvador,Latin America & the Caribbean,6.89,75,45,6.002999783,7984.42665522818
2017,EST,Estonia,Eastern Europe,8.46,15,66,5.611000061,33018.314344498
2017,ETH,Ethiopia,Sub-Saharan Africa,5.25,153,119,4.460000038,2009.55589504922
2017,FIN,Finland,Western Europe,8.53,8,5,7.468999863,47490.909797918204
2017,FRA,France,Western Europe,8.02,33,31,6.441999912000001,45850.9301580929
2017,GAB,Gabon,Sub-Saharan Africa,5.99,132,118,4.465000153,14058.120153041698
2017,GEO,Georgia,Caucasus & Central Asia,7.74,41,125,4.285999775,12923.9815273272
2017,DEU,Germany,Western Europe,8.53,8,16,6.951000214,54368.2854934805
2017,GHA,Ghana,Sub-Saharan Africa,6.94,70,131,4.1199998860000004,4863.97503028016
2017,GRC,Greece,Eastern Europe,7.33,57,87,5.2270002369999995,29145.5579487256
2017,GTM,Guatemala,Latin America & the Caribbean,7.07,65,29,6.453999996,8143.018991115329
2017,GIN,Guinea,Sub-Saharan Africa,5.61,144,149,3.5069999689999998,2408.65797175226
2017,HTI,Haiti,Latin America & the Caribbean,6.71,91,145,3.6029999260000003,1774.9156710236603
2017,HND,Honduras,Latin America & the Caribbean,6.81,84,91,5.181000233,5221.697870093471
2017,HUN,Hungary,Eastern Europe,7.65,45,75,5.323999882,28344.3074919983
2017,ISL,Iceland,Western Europe,8.41,18,3,7.504000187000001,54377.5001986401
2017,IND,India,South Asia,6.64,94,122,4.315000057,6119.130531972939
2017,IDN,Indonesia,South Asia,6.83,81,81,5.262000083999999,10589.3298306833
2017,IRN,Iran,Middle East & North Africa,5.1,154,108,4.691999912,14562.913297101499
2017,IRQ,Iraq,Middle East & North Africa,4.34,158,117,4.497000217,10890.9661916743
2017,IRL,Ireland,Western Europe,8.52,10,15,6.977000237,62042.6945411434
2017,ISR,Israel,Middle East & North Africa,7.61,46,11,7.212999821,38573.0599674904
2017,ITA,Italy,Western Europe,8.04,32,48,5.964000225,42013.2043532415
2017,JAM,Jamaica,Latin America & the Caribbean,7.2,59,76,5.31099987,9315.189101332171
2017,JPN,Japan,East Asia,8.28,25,51,5.920000076,42315.3357811659
2017,JOR,Jordan,Middle East & North Africa,6.84,80,74,5.335999966,9791.28844168496
2017,KAZ,Kazakhstan,Caucasus & Central Asia,6.9,73,60,5.818999767,22157.871103308702
2017,KEN,Kenya,Sub-Saharan Africa,6.85,79,112,4.552999973,3968.90735528269
2017,KWT,Kuwait,Middle East & North Africa,6.19,124,39,6.105000018999999,59255.4252881279
